,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
107,frozenset({'GeogBks'}),"frozenset({'ChildBks', 'CookBks'})",0.276,0.256,0.1495,0.5416666666666666,2.1158854166666665,0.07884399999999998,1.6232727272727272,0.7284317892052699
108,"frozenset({'ChildBks', 'ItalCook'})",frozenset({'CookBks'}),0.085,0.431,0.085,1.0,2.320185614849188,0.048365000000000005,inf,0.6218579234972678
109,"frozenset({'ChildBks', 'CookBks'})",frozenset({'ItalCook'}),0.256,0.1135,0.085,0.33203125,2.925385462555066,0.05594400000000001,1.327157894736842,0.8846299810246679
110,"frozenset({'ItalCook', 'CookBks'})",frozenset({'ChildBks'}),0.1135,0.423,0.085,0.748898678414097,1.7704460482602766,0.03698950000000001,2.2978771929824564,0.49088616834212545
111,frozenset({'ChildBks'}),"frozenset({'ItalCook', 'CookBks'})",0.423,0.1135,0.085,0.20094562647754138,1.7704460482602764,0.03698950000000001,1.1094363905325442,0.7541951269242534
112,frozenset({'ItalCook'}),"frozenset({'ChildBks', 'CookBks'})",0.1135,0.256,0.085,0.748898678414097,2.925385462555066,0.05594400000000001,2.962947368421053,0.7424305762914304
113,frozenset({'CookBks'}),"frozenset({'ChildBks', 'ItalCook'})",0.431,0.085,0.085,0.19721577726218098,2.320185614849188,0.048365000000000005,1.1397832369942198,1.0000000000000002
114,"frozenset({'ChildBks', 'RefBks'})",frozenset({'DoItYBks'}),0.1515,0.282,0.09,0.594059405940594,2.106593638087213,0.047277,1.768731707317073,0.6190925162050678
115,"frozenset({'ChildBks', 'DoItYBks'})",frozenset({'RefBks'}),0.184,0.2145,0.09,0.4891304347826087,2.280328367284889,0.050532,1.5375744680851062,0.6880718954248366
116,"frozenset({'RefBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.1055,0.423,0.09,0.8530805687203792,2.0167389331451044,0.0453735,3.927322580645162,0.5636109558412521
117,frozenset({'ChildBks'}),"frozenset({'RefBks', 'DoItYBks'})",0.423,0.1055,0.09,0.2127659574468085,2.0167389331451044,0.0453735,1.1362567567567567,0.8737435008665512
118,frozenset({'RefBks'}),"frozenset({'ChildBks', 'DoItYBks'})",0.2145,0.184,0.09,0.4195804195804196,2.280328367284889,0.050532,1.4058795180722892,0.714788881816253
119,frozenset({'DoItYBks'}),"frozenset({'ChildBks', 'RefBks'})",0.282,0.1515,0.09,0.3191489361702128,2.106593638087213,0.047277,1.246234375,0.7316155988857939
120,"frozenset({'ChildBks', 'ArtBks'})",frozenset({'DoItYBks'}),0.1625,0.282,0.095,0.5846153846153846,2.0731042007637757,0.049175,1.7285185185185186,0.6180675569520817
